,no_tilt_capped,no_tilt_uncapped,spy_bh,static_capped,hth_capped
2025-08-05,111122.55186514783,114546.22174280776,108052.99680346188,111460.41400325882,112363.16491047939
2025-08-06,111334.11344902632,114852.92904578893,108880.64820848868,111672.61882874643,112657.52750324937
2025-08-07,111751.571544122,115669.84392904396,108789.44715597497,112091.34618271183,113015.67235213824
2025-08-08,112140.45775187461,115957.95625743916,109637.7408617043,112481.4147780485,113469.64826106046
2025-08-11,111883.55626895666,115818.9019143777,109420.93845258151,112223.73219999867,113214.12538591931
2025-08-12,112294.234449193,116356.81407408693,110585.84628719783,112635.65902513852,113727.91058139422
2025-08-13,113046.99483099574,117494.3984638591,110964.38731819231,113390.70813436709,114443.8801454042
2025-08-14,112129.65896807925,115885.48298071689,110974.70317293025,112470.58316113222,113632.03647996939
2025-08-15,111725.07244685348,115422.2116631403,110714.88979246173,112064.7665163643,113239.93578506922
2025-08-18,111512.61032847853,115050.15381867946,110690.79475187775,111851.65841835357,113048.31116463455
2025-08-19,110836.9082910292,113885.64068842852,110090.28279316488,111173.901945227,112372.2221164966
2025-08-20,111177.39486980927,114502.79159329164,109797.76370486189,111515.4237551242,112637.3538380474
2025-08-21,110701.82000959483,113799.62944772704,109357.27458930665,111038.40293514365,112159.25750622476
2025-08-22,112170.31946259165,115814.06583747773,111036.66184871766,112511.36728168976,113676.26696210064
2025-08-25,111102.30122080445,113840.38008364647,110547.97206076779,111440.10178792126,112666.30287332826
2025-08-26,111562.36151137325,114537.62141565155,111010.84043819294,111901.56086704218,113133.48640664738
2025-08-27,111652.8498192059,114556.54557104477,111263.78011257839,111992.32429970455,113245.89710611034
2025-08-28,112227.71440534866,115317.02690114902,111657.8055169064,112568.9367306811,113806.32467592768
2025-08-29,111511.73432344571,114190.44459525248,110991.91391620456,111850.7797498746,113086.16227289216
2025-09-02,112114.47120276785,115414.86052603094,110169.43102977332,112455.34921823782,113517.15778193405
2025-09-03,112850.46090647927,116204.98830658596,110766.50083983132,113193.57665903096,114246.1886449038
2025-09-04,113014.54821862263,116049.25559766099,111692.21641222836,113358.1628698154,114510.39801279026
2025-09-05,113390.52276545786,116476.01234617752,111368.73916848493,113735.2805470246,114802.7200160041
2025-09-08,114053.982506791,117313.86625640704,111642.32114357289,114400.75750199254,115425.97283006085
2025-09-09,114054.59433466727,117232.16304013664,111900.42933655393,114401.37119009855,115459.70537864586
2025-09-10,114659.95239640347,118129.49486724469,112223.91717152398,115008.5698104399,116037.81559209341
2025-09-11,115250.1552669825,118826.91788487774,113156.52763245734,115600.56716108105,116680.75799752648
2025-09-12,115348.000411599,119050.29881247607,113118.66399725393,115698.70979859354,116762.64108562184
2025-09-15,115657.71408078443,119274.07297811091,113720.89173468089,116009.36513552073,117114.47523654162
2025-09-16,115791.68759941866,119651.03767936508,113564.32163140479,116143.74599342764,117213.20864157217
2025-09-17,115649.08659459691,119453.23230580213,113423.22531023559,116000.7114179258,117068.69801606867
2025-09-18,115579.1140533697,119391.70177781787,113953.18910836383,115930.52612895306,117074.70942743208
2025-09-19,115750.07710731296,119354.3451903774,114517.58498426728,116102.00898686027,117298.46600029831
2025-09-22,115804.43832695439,119097.19615760725,115059.36859131498,116156.53548886419,117415.72381517915
2025-09-23,115842.16558278837,119122.52173605097,114433.04581330402,116194.37745238896,117369.7236661467
2025-09-24,115672.16279818212,119082.05187736574,114068.96180665995,116023.85778346601,117172.45686065823
2025-09-25,114978.38092788686,117792.27523230252,113542.70493785231,115327.96650673483,116489.850916133
2025-09-26,115469.12323163108,118407.55387586335,114193.20748626029,115820.20088604087,117008.21233455511
2025-09-29,116718.23068973851,120370.67939771884,114514.13224438581,117073.10618814525,118157.4389383759
2025-09-30,116864.40164911619,120481.24798700286,114945.49172258572,117219.72157245771,118342.3655493743
2025-10-01,117912.58198146775,122201.36952627546,115337.17646582844,118271.08884069466,119321.94083257105
2025-10-02,118173.32159594915,122671.78284495197,115470.01163022601,118532.62121994037,119570.07192613771
2025-10-03,118591.10647494587,123406.14528134615,115468.30644273854,118951.67635137567,119939.99873230905
