,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-11-25,115151.84552309383,116470.77663452554,115382.08029988647,117446.6844911814
2025-11-26,116743.96278177999,117274.84137784663,116977.38084026487,118969.4077723474
2025-11-28,117345.30412923137,117914.97511538354,117579.9245105299,119586.76178281572
2025-12-01,115497.60492529464,117376.64424821732,115728.53101396706,117870.06299788781
2025-12-02,117105.71551125053,117594.050357258,117339.8568586983,119334.24142475826
2025-12-03,118065.88206486804,118001.25124751416,118301.94317079778,120242.38135125062
2025-12-04,117629.05060588368,118087.51678841816,117864.23831032342,119863.76299623349
2025-12-05,116616.21648756333,118311.82837722183,116849.37912991135,118988.3708572379
2025-12-08,116788.94568005424,117956.38681150808,117022.453677415,119098.23220332824
2025-12-09,117681.77685542851,117854.57334991076,117917.06998081256,119882.68949375035
2025-12-10,117548.96830276537,118636.21646645546,117783.99589052526,119863.11462640826
2025-12-11,118354.41617593713,118912.2767885749,118591.05417741167,120616.95902200804
2025-12-12,117210.75789933793,117633.72509221522,117445.10926869776,119435.09989082944
2025-12-15,115792.3944293291,117456.00430935834,116023.90992058863,118147.1348689505
2025-12-16,116303.5803183069,117135.07955123283,116536.11787541794,118563.69399656358
2025-12-17,115651.8331700249,115846.16963522867,115883.06762288671,117819.65401812515
2025-12-18,115627.4626695524,116720.96258998707,115858.64839599813,117908.57113942328
2025-12-19,117033.81794653469,117778.85667073056,117267.81554188114,119297.21898843982
2025-12-22,117835.78204692912,118512.60626045293,118071.38309052958,120105.4560800574
2025-12-23,117795.50469132232,119054.26277278103,118031.02520431612,120137.78333185206
2025-12-24,118047.10921231317,119473.05046497076,118283.13278377266,120415.03615552008
2025-12-26,118207.22779442015,119460.93410170566,118443.57150721861,120556.53337830155
2025-12-29,116770.1980393037,119035.21974729972,117003.66855260274,119219.79311240715
2025-12-30,117528.34366528972,118889.86575302514,117763.33001611775,119879.46348113881
2025-12-31,116548.96094842083,118009.01461663417,116781.98911994058,118894.26833158928
