,equal_weight,spy,struct_A,struct_B,struct_C
2025-06-13,103355.71731129476,102421.3026848653,105770.29509466924,110683.45207866578,108466.94490221242
2025-06-16,103981.3751819641,103395.75908221508,106586.73740666585,112582.47560717115,110327.93926556132
2025-06-17,103769.23435941983,102512.23895671329,106260.92838658908,111589.80118666406,109355.1437875304
2025-06-18,103899.89769189962,102496.79694828627,106382.36470144012,111643.74825635603,109408.01053252275
2025-06-20,103702.91519907465,102256.06895820558,106113.77032319792,110963.98850889933,108741.863410352
2025-06-23,103896.46191139653,103266.10128580662,106311.8165530335,111171.08697976482,108944.81460140027
2025-06-24,104474.05555666312,104406.9034886123,107019.87112296607,112605.00603321908,110350.0185053652
2025-06-25,104252.53211704483,104465.40942451824,106823.93636539277,112583.6011796895,110329.04229776749
2025-06-26,104763.9917863174,105282.72379235386,107455.20655774463,113889.0993572874,111608.39703634944
2025-06-27,105252.70401925864,105805.8032931724,107956.47300476118,114420.37919022936,112129.03764960404
2025-06-30,105372.0128015131,106311.6932331699,108078.84663355013,114550.07995405755,112256.14107238063
2025-07-01,105640.54757229776,106277.282337848,108354.27962126462,114842.00452345693,112542.21966488911
2025-07-02,106053.43681895162,106759.06664603489,108777.77531408965,115290.85706939302,112982.08365047086
2025-07-03,106278.10672805338,107600.47605445451,109063.24557559917,115923.92152215779,113602.47058119996
2025-07-07,105466.9074662209,106798.63546872578,108198.17916344426,114808.03091830043,112508.92640298378
2025-07-08,105434.80277813996,106740.14012404649,108165.24306171888,114773.08274251362,112474.67808685062
2025-07-09,105844.90621456888,107380.22090545023,108585.9669281553,115219.50872712223,112912.1641045531
2025-07-10,106158.27185795114,107683.06643971779,108907.44778732624,115560.62892623006,113246.45315270605
2025-07-11,105746.18432321178,107304.51481749667,108484.68844047583,115112.04311323886,112806.85055857076
2025-07-14,105899.44485548,107509.26441071414,108641.91795376514,115278.87781380919,112970.34428716966
2025-07-15,105394.21304876753,107049.85936439713,108123.6021819743,114728.89801180796,112431.37818373987
2025-07-16,105667.90743191748,107407.74750346247,108404.38441609424,115026.83329746056,112723.34712405027
2025-07-17,105984.37323861892,108065.04961936714,108729.04572337258,115371.32823898524,113060.94333323691
2025-07-18,105974.11942297906,107985.9013827587,108718.52636513628,115360.16625072471,113050.00487095627
2025-07-21,106023.05919492098,108190.66156720281,108768.73352812232,115413.44058089356,113102.21234846627
2025-07-22,106386.9793509752,108206.14594053634,109142.07810787646,115809.59286725361,113490.4314309987
2025-07-23,106615.43957019823,109126.71417679102,109376.45475098728,116058.28763362436,113734.14592503375
2025-07-24,106494.2157430054,109162.84085082708,109252.09159586501,115926.32710463241,113604.82799034136
2025-07-25,106672.93505976224,109623.9828583115,109435.43919862484,116120.87545479133,113795.48038490623
2025-07-28,106384.15177139694,109596.45626029928,109139.17730259868,115806.51485111144,113487.41505410557
2025-07-29,106549.94074942396,109307.36872942453,109309.25971023575,115986.98763231379,113664.27375201744
2025-07-30,106120.64165678018,109169.72514813681,108868.8430785501,115519.66584687856,113206.31038531309
2025-07-31,105799.52188052269,108760.21537047524,108539.40727807817,115170.10473726837,112863.74946130886
2025-08-01,105241.4974164362,106977.57424264518,107966.93167987073,114562.65647254582,112268.4657380132
2025-08-04,105977.14469738217,108603.61349351925,108721.62998493278,115363.45947137137,113053.23214274555
2025-08-05,105942.76977353558,108052.99680346188,108686.36485524957,115326.03998677088,113016.56200734404
2025-08-06,106249.13615732192,108880.64820848868,109000.66519531775,115659.54100720552,113343.38445576755
2025-08-07,106301.74880167074,108789.44715597497,109054.64034692006,115716.81351328547,113399.51004314957
2025-08-08,106571.94066272909,109637.7408617043,109331.82935429338,116010.9360611396,113687.74259818335
2025-08-11,106415.67797120454,109420.93845258151,109171.51993496627,115840.83330236028,113521.04625633889
2025-08-12,106976.45189533266,110585.84628719783,109746.81619585678,116451.27454470066,114119.26302095437
