Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
XLU,126,0.0,0.0,NEUTRAL,0,4,0,0,0.0,50.5733,0.0,0.0,,,2026-06-16
XLU,252,0.0,0.0,NEUTRAL,0,5,0,0,0.0,77.5841,0.0,0.0,,,2026-06-16
XLU,300,0.0,0.0,NEUTRAL,0,5,0,0,0.0,77.8536,0.0,0.0,,,2026-06-16
XLV,126,0.0,0.0,NEUTRAL,6,0,0,0,61.4521,0.0,0.0,0.0,,,2026-06-16
XLV,252,0.0,0.0,NEUTRAL,14,0,0,0,223.6151,0.0,0.0,0.0,,,2026-06-16
XLV,300,0.0,0.0,NEUTRAL,8,0,0,0,179.5549,0.0,0.0,0.0,,,2026-06-16
XLY,63,0.0,0.0,NEUTRAL,1,0,0,0,8.9698,0.0,0.0,0.0,,,2026-06-16
XLY,126,0.0,0.0,NEUTRAL,6,0,0,0,64.468,0.0,0.0,0.0,,,2026-06-16
XLY,252,0.0,0.0,NEUTRAL,8,0,0,0,110.3912,0.0,0.0,0.0,,,2026-06-16
XLY,300,0.0,0.0,NEUTRAL,15,0,0,0,243.2174,0.0,0.0,0.0,,,2026-06-16
XOM,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.8457,0.0,0.0,,,2026-06-16
XOM,252,9.5364,0.1479,BULLISH,1,5,1,0,9.5364,54.9593,9.5364,0.0,"BNO(t=252,q=0.95) & UGA(t=252,q=0.9) CPE=0.992 lift=1.98 n=127",,2026-06-16
XOM,300,0.0,0.0,NEUTRAL,1,7,0,0,9.0533,82.3175,0.0,0.0,,,2026-06-16
XRP-USD,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.5495,0.0,0.0,,,2026-06-16
XRP-USD,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.5072,0.0,0.0,,,2026-06-16
ZROZ,300,0.0,0.0,NEUTRAL,1,0,0,0,6.7055,0.0,0.0,0.0,,,2026-06-16
ZS=F,252,0.0,0.0,NEUTRAL,0,4,0,0,0.0,41.081,0.0,0.0,,,2026-06-16
ZS=F,300,0.0,0.0,NEUTRAL,1,3,0,0,9.0271,30.1093,0.0,0.0,,,2026-06-16
